"2Theta","J_0_AD_","J_0_GL_","J_0_HT_"
10.660418457672382,406,503,333
10.673548740350236,395,502,337
10.686679023028091,387,529,335
10.699809305705946,406,545,295
10.7129395883838,401,509,360
10.726069871061656,420,521,330
10.73920015373951,390,486,342
10.752330436417365,374,481,317
10.76546071909522,385,503,368
10.778591001773075,388,533,342
10.79172128445093,404,513,349
10.804851567128784,382,479,310
10.817981849806639,410,528,341
10.831112132484494,438,527,338
10.844242415162348,395,499,364
10.857372697840203,394,499,361
10.870502980518058,381,522,342
10.883633263195913,410,518,339
10.896763545873767,413,507,340
10.909893828551622,395,551,305
10.923024111229477,372,503,320
10.936154393907334,394,515,323
10.949284676585187,401,539,343
10.962414959263043,382,519,352
10.975545241940896,387,538,317
10.988675524618753,420,559,332
11.001805807296606,375,532,322
11.014936089974462,413,540,344
11.028066372652315,393,559,312
11.041196655330172,408,537,336
11.054326938008025,423,553,350
11.067457220685881,354,522,306
11.080587503363734,395,501,328
11.09371778604159,403,532,352
11.106848068719444,384,503,349
11.1199783513973,356,529,328
11.133108634075153,431,557,350
11.14623891675301,382,485,309
11.159369199430863,415,496,350
11.17249948210872,424,504,315
11.185629764786572,445,522,348
11.198760047464429,401,510,353
11.211890330142282,403,535,355
11.225020612820138,430,514,345
11.238150895497991,422,510,336
11.251281178175848,423,509,339
11.264411460853701,431,538,316
11.277541743531557,422,521,342
11.290672026209412,442,497,353
11.303802308887267,458,517,343
11.316932591565122,505,550,333
11.330062874242977,490,487,350
11.343193156920831,464,483,345
11.356323439598686,528,524,321
11.36945372227654,495,553,338
11.382584004954396,534,560,317
11.39571428763225,536,539,320
11.408844570310105,659,459,331
11.42197485298796,609,499,336
11.435105135665815,635,510,337
11.44823541834367,648,523,361
11.461365701021524,728,494,320
11.474495983699379,721,523,305
11.487626266377234,840,532,328
11.500756549055088,885,564,348
11.513886831732943,1011,485,332
11.527017114410798,999,507,324
11.540147397088653,1065,537,327
11.553277679766508,1058,562,354
11.566407962444362,981,536,313
11.579538245122217,899,525,325
11.592668527800072,759,502,326
11.605798810477927,679,572,323
11.618929093155781,549,555,309
11.632059375833636,549,540,338
11.645189658511491,526,529,319
11.658319941189346,487,518,311
11.6714502238672,471,509,325
11.684580506545057,473,518,336
11.69771078922291,492,524,344
11.710841071900767,422,516,314
11.72397135457862,425,504,329
11.737101637256476,453,513,319
11.750231919934329,431,498,337
11.763362202612186,400,508,354
11.776492485290039,460,572,341
11.789622767967895,395,530,311
11.802753050645748,423,567,331
11.815883333323605,393,521,349
11.829013616001458,444,549,311
11.842143898679314,462,554,324
11.855274181357167,472,521,339
11.868404464035024,452,590,348
11.881534746712877,471,523,335
11.894665029390733,470,609,336
11.907795312068586,482,561,320
11.920925594746443,486,582,309
11.934055877424296,507,608,334
11.947186160102152,539,623,355
11.960316442780005,558,647,360
11.973446725457862,532,669,375
11.986577008135715,618,633,354
11.999707290813571,666,703,386
12.012837573491426,701,678,386
12.02596785616928,747,685,397
12.039098138847136,801,747,394
12.05222842152499,896,775,405
12.065358704202845,884,778,405
12.0784889868807,1060,919,362
12.091619269558555,1082,877,369
12.10474955223641,1249,973,374
12.117879834914264,1420,1126,365
12.131010117592119,1536,1241,344
12.144140400269974,1788,1299,320
12.157270682947829,2091,1467,337
12.170400965625683,2394,1688,325
12.183531248303538,2846,1843,349
12.196661530981393,3383,2100,315
12.209791813659248,4086,2484,321
12.222922096337102,5053,2928,325
12.236052379014957,6154,3674,321
12.249182661692812,7988,4612,313
12.262312944370667,10164,5978,329
12.275443227048521,12282,7112,325
12.288573509726376,12518,7508,350
12.301703792404231,10707,6502,336
12.314834075082086,8188,5214,305
12.32796435775994,5794,3599,334
12.341094640437795,3627,2362,319
12.35422492311565,2161,1536,324
12.367355205793505,1596,1092,329
12.38048548847136,1154,907,290
12.393615771149214,996,826,344
12.406746053827069,891,804,291
12.419876336504924,751,730,301
12.433006619182779,702,677,322
12.446136901860633,651,659,338
12.459267184538488,604,670,299
12.472397467216343,542,642,292
12.485527749894198,532,648,333
12.498658032572052,506,582,317
12.511788315249907,523,565,335
12.524918597927762,471,547,322
12.538048880605617,432,551,344
12.551179163283471,459,570,297
12.564309445961326,440,589,325
12.577439728639181,463,552,312
12.590570011317036,390,575,323
12.603700293994892,406,512,317
12.616830576672747,404,530,308
12.629960859350602,381,515,330
12.643091142028457,406,540,305
12.656221424706311,383,517,298
12.669351707384166,391,516,321
12.682481990062021,367,527,326
12.695612272739876,382,546,347
12.70874255541773,376,494,302
12.721872838095585,374,521,351
12.73500312077344,358,502,314
12.748133403451295,365,530,336
12.76126368612915,370,498,329
12.774393968807004,315,551,340
12.787524251484859,375,561,324
12.800654534162714,353,554,322
12.813784816840569,349,496,321
12.826915099518423,380,540,332
12.840045382196278,349,500,290
12.853175664874133,360,490,337
12.866305947551988,364,534,307
12.879436230229842,347,534,318
12.892566512907697,347,483,331
12.905696795585552,341,559,343
12.918827078263407,316,497,307
12.931957360941261,315,497,314
12.945087643619116,342,554,322
12.958217926296971,364,504,314
12.971348208974826,397,485,301
12.98447849165268,338,526,291
12.997608774330535,349,486,355
13.01073905700839,351,534,331
13.023869339686245,364,519,350
13.0369996223641,342,537,302
13.050129905041954,359,538,324
13.06326018771981,381,470,356
13.076390470397664,375,513,356
13.089520753075519,336,538,344
13.102651035753373,358,519,324
13.115781318431228,340,552,307
13.128911601109083,390,499,338
13.142041883786938,351,535,320
13.155172166464792,411,537,355
13.168302449142647,393,525,323
13.181432731820502,429,559,273
13.194563014498357,463,528,333
13.207693297176212,403,566,327
13.220823579854066,453,542,306
13.233953862531921,418,539,295
13.247084145209776,395,525,307
13.26021442788763,396,560,276
13.273344710565485,353,601,351
13.28647499324334,368,499,325
13.299605275921195,384,481,310
13.31273555859905,328,511,298
13.325865841276904,339,547,340
13.33899612395476,294,558,334
13.352126406632616,370,532,343
13.36525668931047,358,484,273
13.378386971988325,343,478,316
13.39151725466618,317,508,344
13.404647537344035,328,474,303
13.41777782002189,323,483,298
13.430908102699744,364,507,316
13.444038385377599,365,503,310
13.457168668055454,332,509,288
13.470298950733309,363,501,324
13.483429233411163,345,488,280
13.496559516089018,375,531,288
13.509689798766873,363,541,320
13.522820081444728,381,503,339
13.535950364122582,362,519,284
13.549080646800437,361,505,314
13.562210929478292,340,539,326
13.575341212156147,323,505,321
13.588471494834002,336,496,269
13.601601777511856,330,464,307
13.614732060189711,358,508,304
13.627862342867566,338,499,320
13.64099262554542,335,509,296
13.654122908223275,346,535,307
13.66725319090113,343,503,288
13.680383473578985,303,533,297
13.69351375625684,311,512,299
13.706644038934694,317,467,324
13.71977432161255,302,483,311
13.732904604290404,292,479,296
13.746034886968259,285,524,310
13.759165169646113,291,491,336
13.772295452323968,320,454,302
13.785425735001823,282,481,268
13.798556017679678,304,545,309
13.811686300357533,316,524,285
13.824816583035387,310,469,285
13.837946865713242,332,466,316
13.851077148391097,327,487,277
13.864207431068952,331,485,296
13.877337713746806,311,516,317
13.890467996424661,317,443,293
13.903598279102516,295,480,308
13.91672856178037,311,484,295
13.929858844458225,299,529,301
13.94298912713608,280,478,291
13.956119409813935,288,516,340
13.96924969249179,300,502,306
13.982379975169644,298,507,298
13.9955102578475,320,474,318
14.008640540525354,295,483,308
14.021770823203209,322,495,299
14.034901105881064,297,479,295
14.048031388558918,288,467,297
14.061161671236773,314,458,293
14.074291953914628,306,472,309
14.087422236592484,314,467,324
14.10055251927034,269,474,293
14.113682801948194,308,488,301
14.126813084626049,316,465,315
14.139943367303903,272,510,339
14.153073649981758,271,507,319
14.166203932659613,312,494,301
14.179334215337468,278,497,315
14.192464498015323,295,472,291
